"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-19","10.74",",,W"," 0945",",,W","0.00","T,,W",,,,,,,,,"40",",,W","35",",,W",,,"  250",",,W","  250",",,W","18.1",",,W","23.0",",,W","    1",",,W","    1",",,W",,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-20","10.74",",,W"," 1337",",,W","0.05",",,W",,,,,,,,,"40",",,W","35",",,W",,,"  240",",,W","  250",",,W","21.0",",,W","25.1",",,W","    1",",,W",,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-21","5.82",",,W"," 1354",",,W","0.02",",,W",,,,,,,,,"40",",,W","34",",,W",,,"  250",",,W","  260",",,W","15.0",",,W","19.9",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-22","4.70",",,W"," 1019",",,W","0.00",",,W",,,,,,,,,"40",",,W","33",",,W",,,"  130",",,W","  100",",,W","15.0",",,W","31.1",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-23","7.61",",,W"," 2113",",,W","0.00",",,W",,,,,,,,,"47",",,W","33",",,W",,,"  130",",,W","  100",",,W","14.1",",,W","15.0",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-24","15.66",",,W"," 1345",",,W","0.00",",,W",,,,,,,,,"46",",,W","36",",,W",,,"  100",",,W","  120",",,W","25.1",",,W","32.0",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-25","10.51",",,W"," 0543",",,W","0.00",",,W",,,,,,,,,"45",",,W","35",",,W",,,"  100",",,W","  100",",,W","23.9",",,W","29.1",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-26","8.50",",,W"," 1343",",,W","0.00","T,,W",,,,,,,,,"42",",,W","32",",,W",,,"  240",",,W","  260",",,W","19.9",",,W","25.1",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-27","8.72",",,W"," 1051",",,W","0.01",",,W",,,,,,,,,"40",",,W","29",",,W",,,"  240",",,W","  100",",,W","21.0",",,W","29.1",",,W","    1",",,W","    1",",,W",,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-28","18.34",",,W"," 2037",",,W","0.03",",,W",,,,,,,,,"42",",,W","34",",,W",,,"  240",",,W","  250",",,W","32.0",",,W","42.9",",,W","    1",",,W",,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-29","13.20",",,W"," 0006",",,W","0.01",",,W",,,,,,,,,"40",",,W","35",",,W",,,"  250",",,W","  240",",,W","25.9",",,W","33.1",",,W","    1",",,W",,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-30","19.46",",,W"," 1304",",,W","0.05",",,W",,,,,,,,,"50",",,W","36",",,W",,,"  240",",,W","  240",",,W","35.1",",,W","45.0",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-31","12.30",",,W"," 1909",",,W","0.08",",,W",,,,,,,,,"45",",,W","34",",,W",,,"  170",",,W","  150",",,W","25.1",",,W","32.0",",,W","    1",",,W",,,,,,,,
